Obedeeer,obedeee
Obedieneia,obediencia,obedéce
Obediente,bócal
Objecto,búate
Obliquo,andéré
Oblongo,náruco
Obra,haháloc
Obrar,halo
Obrigaęāo,obrigaçā
Obrigado,obrigado
Obrigar,hódi,biite
Obsceno,cfó'er
Observancia,hadíu
Obstar,hacáhic
Obstinar-se,lacóhi,fila
Obstrnir,táca
Obstrnir-se,tíbè
Obter,hétan
Obtestar,hóla,sácin
Oceasiāo,fátin
Oceasionar,fó,fálin
Oceaso,lóró,móno
Oceultar,hacsúmic,hacsúbal
Ocenltar-se,hacsúmic,ā
Oco,cmámuco
Ocular,mátan,nia
Oculo,óculo
Odio,hirus
Odioso,hirus
Odorifero,mónriu
Oéste,lórò,móno
Offender,ofende
Offender-se,hirus
Offensa,sala
Offereeer,oferéce
Offerta,sauáte
Official,oficíel
Officio,ofício
Offusear,halo,nacúcun
"Oitocentos,",as
Oleo,mina
Olfato,hóron
Olheiro,macáir
Olho,mátan,mata,cúac
Olvidar,halúha
Olivdo,halúha
Omissāo,hela
Ouds,lalóran,larlóran,sérè,galumba
Onde,iha,bé
Ondear,sérè
Ondear-se,hacbétuco
Ondulseāo,golumba
Onze,sonúlorécin,ida
Opa,opa
Opaco,métin
Opçāo,jihir
Operculo,taca,mútan
Opimo,di'ac
Opinar,hanóin
Opiniāo,hanóin
Opio,opio,anfian
Opportunidade,fátin,tempo,léete
Opportuno,lóe,di'ac
Opposto,contra
Opprimir,hanéhan
Opprobrio,oáca
Oppugnar,ha,bíite
Optar,fihir
Opulento,cmáus,rico
Ora,óras,né'e,lái
Ora,né'e
Ora!,ora!
Oraçáo,oraçá
Orate,búlac
Oratorio,capellaóan
Orbe,mundo
Ordem,orde
Ordinario,bispo
Ordir,háli
Orfā,óākí'ec
Orgāo,orgāo
Oriente,--Dr.Douglas
Orifielo,--Dr.Douglas
Ossada,rúin
Osso,rúin
Ostentar,hatúdo
Ostra,ostra,talían
Ou,cá
Ouco,enámuco
Outrosim,mòs
Outsotanto,hanécan
Ouvir,róna
Oval,eabúal
Pacato,máus
Pachórra,bároc,léete
Pachorrento,báhuco,démite
Paciencia,paciénci
Pacto,contrato
Padecer,terus
Padre,ná'ilúlic
Pae,áman
Pagar,sélo,hamán
Pago,sélona
Pagode,pagode
Paiol,paiol
Paixāo,térus
Paiz,rái,reino
Paladar,cfúrae,fúrac
Palapa,bébac
Palavra,lia
Palhaço,bóbo
Palito,kéçac
Palliar,táca
Pallio,hamáha
Palmada,báca
Palmatoria,palmatoria
Palmeira,táli,nun,bua,hacadirun,bécte,ná,rumbia,tólon
Palmihar,lá'a,lá'u
Palpar,lámas
Palpitaçāo,nacfétic,fékite,fétic
Palpitar,hacfétic
Palrar,hatéten,déhan
Pança,cábun
Panejar,hérin
Panella,sánan
Pano,héna,táis,cnóre,hacfóli
Pāo,pā
Papa,Papa
Papada,hérin
Papar,hā,há
Papel,súrate
Papo,papo,lóhon,cacáluco
Par,tálin,málu,máluco
Par,a,par
Para,ato,átoc,iha,ba,bira
Parabem,parabém
Parada,fátin
Paraiso,laléhan
Paralysar,hamátéc
Paramentar-se,hatáis
Pareeiro,máluco,málu
Parcial,báluco,bálun
Pardo,balákuco
Pareeer,--Dr.Douglas
Parecer-se,hilas,natáli,nóci
Parede,dídin
Parelha,tálin,máluco
Parelho,hanéçan,nanéçcan
Parente,parente,málu,máluco,taláin
Parlapatāo,pataráta
Parque,tó'os
Parte,báluco,bálun,fátin
Parteira,dáia
Particular,idania
Partida,sáe,lá'u,lá'a
Partir,fáhé,hacféra
Passar-se,liu
Pastagem,dú'uto
Pasto,dú'uto
Pastorear,hé'in,haré,héci
Patarata,bóçoc
Patarateiro,patarata,lócò
Pateea,patéca
Patena,paténa
Pateta,efác,béic,fáac
Patife,áate
Pato,ráde,pato
Pairanha,bóçoc
Patrāo,āmo
Patria,rai
Patriareha,patriárca
Patrono,patrono
Patuseada,halímar
Pau,Páo
Paulatinamente,neinéie
Paz,paz,dámé
Peccado,pecado
Peccar,sala
Pedir,huçu
Pegadiço,vacbélite
Pegar,cáir,ráci
Pegar-se,haritan,harite
Peido,hóuçul
Peiorar,Peorar
Peitar,hatátan
Penar,térus,sófre
Pendāo,bandeira
Pender,tāra
Pendurar,tāra
Penetrar,tāma,hātama,hatén
Penitencia,peniténci
Penna,fúlin
Pennacho,láin
Penoso,tós
Pensamento,hanóin,néon
Pensar,hanóin
Pentear,súi,héri
Pepino,cáha
Pequenino,libétic
Pequeno,ki'ec
Pereeber,simu,hatén
Percutir,bácò
Perda,lácon
Perdāo,perdā,perdua
Perdiçāo,perdiçā,lácon
Perdido,perdido
Perdoar,perdúa
Perecer,máté
Periquito,lorico,bírus
Permanecer,hóric
Permissāo,licença
Perpendicular,lós,críic
Perpetrar,hálo,hála
Perpetuamente,nafátin
Pescoço,cliac,eacóròc
Pesquizar,buca
Pessoa,ema,sia,ná'in
Pessoalmente,rácic
Pestana,fúlun
Peste,peste
Peta,bóçòc
Pétala,dikin
Petiçāo,húçu
Pezar,Pezarosamente
Pharol,Philosopho
Pia,pia
Piāo,piā
Piar,kia
Pieada,táta
Pico,pico
Pilāo,néçun,néçu
Pilhar,piloto
Pimenta,pimenta
Pinchar,hacsoite
Pingar,turo
Pino,tútun
Pinta,tádan
Pistola,pistola
Piugas,meias
Plaina,cepilha
Plantaçāo,cuda
Plantar,cúda
Plauura,tétuco
Plansivel,di'acl
Pleito,istóri
Plenario,tómac
Pobre,kiac
Policia,políci
Urina,ourina
